,門牌資料,編釘日期,編釘類別
0,桃園市桃園區三元里010鄰公園路５３號,民國112年4月27日,門牌廢止
1,桃園市桃園區三元里010鄰公園路５５號,民國112年4月27日,門牌廢止
2,桃園市桃園區三元里010鄰公園路５７號,民國112年4月27日,門牌廢止
3,桃園市桃園區三元里010鄰公園路５９號,民國112年4月27日,門牌廢止
4,桃園市桃園區三元里010鄰公園路６１號,民國112年4月27日,門牌廢止
5,桃園市桃園區三元里010鄰公園路６３號,民國112年4月27日,門牌廢止
6,桃園市桃園區三元里010鄰公園路６５號,民國112年4月27日,門牌廢止
7,桃園市桃園區雲林里007鄰桃鶯路９２巷４號,民國112年4月27日,門牌初編
8,桃園市桃園區雲林里007鄰桃鶯路９２巷４號二樓,民國112年4月27日,門牌初編
9,桃園市桃園區雲林里007鄰桃鶯路９２巷４號三樓,民國112年4月27日,門牌初編
10,桃園市桃園區東埔里005鄰民光路７號,民國112年4月27日,門牌廢止
11,桃園市桃園區文中里008鄰延壽街１５４巷２８弄２號,民國112年4月25日,門牌初編
12,桃園市桃園區莊敬里016鄰同安街４８４巷９號,民國112年4月25日,門牌初編
13,桃園市桃園區文中里008鄰延壽街１５４巷２８弄２號二樓之１,民國112年4月25日,門牌初編
14,桃園市桃園區文中里008鄰延壽街１５４巷２８弄２號二樓之２,民國112年4月25日,門牌初編
15,桃園市桃園區文中里008鄰延壽街１５４巷２８弄２號三樓之２,民國112年4月25日,門牌初編
16,桃園市桃園區文中里008鄰延壽街１５４巷２８弄２號四樓之１,民國112年4月25日,門牌初編
17,桃園市桃園區文中里008鄰延壽街１５４巷２８弄２號四樓之２,民國112年4月25日,門牌初編
18,桃園市桃園區文中里008鄰延壽街１５４巷２８弄２號五樓之１,民國112年4月25日,門牌初編
19,桃園市桃園區文中里008鄰延壽街１５４巷２８弄２號五樓之２,民國112年4月25日,門牌初編
20,桃園市桃園區莊敬里016鄰同安街４８４巷１１號,民國112年4月25日,門牌初編
21,桃園市桃園區文中里008鄰延壽街１５４巷２８弄２號三樓之１,民國112年4月25日,門牌初編
22,桃園市桃園區長德里001鄰中正五街１４０號,民國112年4月24日,門牌廢止
23,桃園市桃園區文中里003鄰力行路５１５號,民國112年4月18日,門牌初編
24,桃園市桃園區忠義里015鄰成功路三段１０號,民國112年4月18日,門牌初編
25,桃園市桃園區福安里012鄰建國路１２３巷１７號,民國112年4月17日,門牌廢止
26,桃園市桃園區南華里001鄰南華街１２２號,民國112年4月7日,門牌廢止
27,桃園市桃園區南華里001鄰南華街１２６號,民國112年4月7日,門牌廢止
28,桃園市桃園區南華里001鄰南華街１２８號,民國112年4月7日,門牌廢止
29,桃園市桃園區龍鳳里027鄰國強一街４７１號,民國112年4月7日,門牌初編
30,桃園市桃園區大業里013鄰寶山街３３９號,民國112年4月6日,門牌初編
31,桃園市桃園區青溪里023鄰鎮一街５８號,民國112年3月31日,門牌初編
32,桃園市桃園區春日里005鄰向善街１２０之１號,民國112年3月31日,門牌初編
33,桃園市桃園區汴洲里034鄰幸福路２３９號十九樓,民國112年3月30日,門牌初編
34,桃園市桃園區汴洲里034鄰幸福路２３９號二十樓,民國112年3月30日,門牌初編
35,桃園市桃園區汴洲里034鄰幸福路２３９號二十一樓,民國112年3月30日,門牌初編
36,桃園市桃園區汴洲里034鄰幸福路２３９號二十四樓,民國112年3月30日,門牌初編
37,桃園市桃園區汴洲里034鄰幸福路２３７號六樓,民國112年3月30日,門牌初編
38,桃園市桃園區汴洲里034鄰幸福路２３７號七樓,民國112年3月30日,門牌初編
39,桃園市桃園區汴洲里034鄰幸福路２３７號八樓,民國112年3月30日,門牌初編
40,桃園市桃園區汴洲里034鄰幸福路２３７號十二樓,民國112年3月30日,門牌初編
41,桃園市桃園區汴洲里034鄰幸福路２３７號十七樓,民國112年3月30日,門牌初編
42,桃園市桃園區汴洲里034鄰幸福路２３７號二十三樓,民國112年3月30日,門牌初編
43,桃園市桃園區汴洲里034鄰幸福路２３７號二十四樓,民國112年3月30日,門牌初編
44,桃園市桃園區汴洲里034鄰幸福路２３９號八樓,民國112年3月30日,門牌初編
45,桃園市桃園區汴洲里034鄰幸福路２３９號九樓,民國112年3月30日,門牌初編
46,桃園市桃園區汴洲里034鄰幸福路２３９號十樓,民國112年3月30日,門牌初編
47,桃園市桃園區汴洲里034鄰幸福路２３９號十一樓,民國112年3月30日,門牌初編
48,桃園市桃園區汴洲里034鄰幸福路２３９號十二樓,民國112年3月30日,門牌初編
49,桃園市桃園區汴洲里034鄰幸福路２３９號十三樓,民國112年3月30日,門牌初編
50,桃園市桃園區汴洲里034鄰幸福路２３９號十五樓,民國112年3月30日,門牌初編
51,桃園市桃園區汴洲里034鄰幸福路２３９號二十三樓,民國112年3月30日,門牌初編
52,桃園市桃園區汴洲里034鄰幸福路２３９號二十二樓,民國112年3月30日,門牌初編
53,桃園市桃園區汴洲里034鄰幸福路２３９號二十五樓,民國112年3月30日,門牌初編
